tconst,director,id,popularity
tt10298810,Angus MacLane,718789,3.779
tt10298810,Angus MacLane,718789,3.779
tt14444726,Todd Field,817758,4.632
tt11703050,Paloma Baeza,926899,4.549
tt11703050,Emma De Swaef,926899,1.262
tt11703050,Niki Lindroth von Bahr,926899,1.227
tt11703050,Marc James Roels,926899,1.202
tt14641788,Harry Bradbeer,829280,1.03
tt12530246,Antoine Fuqua,715931,3.132
tt13833688,Darren Aronofsky,785084,6.685
tt13833688,Darren Aronofsky,785084,6.685
tt19770238,Charlotte Wells,965150,2.857
tt4614584,Elizabeth Allen Rosenbaum,762975,1.478
tt12262116,Ron Howard,698948,15.759
tt12262116,Ron Howard,698948,15.759
tt6710474,Daniel Kwan,545611,8.789
tt6710474,Daniel Scheinert,545611,4.042
tt6710474,Daniel Kwan,545611,8.789
tt6710474,Daniel Scheinert,545611,4.042
tt13640696,Tom George,766475,2.602
tt4123432,David Yates,338953,5.208
tt1745960,Joseph Kosinski,361743,5.261
tt11866324,Dan Trachtenberg,766507,3.059
tt11866324,Dan Trachtenberg,766507,3.059
tt11564570,Rian Johnson,661374,6.055
tt12412888,Jeff Fowler,675353,5.318
tt10954984,Jordan Peele,762504,14.949
tt10954984,Jordan Peele,762504,14.949
tt4998632,Michael Bay,763285,8.769
tt10731256,Olivia Wilde,619730,21.857
tt5113044,Kyle Balda,438148,4.735
tt5113044,Brad Ableson,438148,1.126
tt5113044,Jonathan del Val,438148,2.233
tt14109724,Ol Parker,800939,6.86
tt14208870,Steven Spielberg,804095,32.198
tt14114802,Graham Moore,799876,1.089
tt12003946,Tommy Wirkola,899112,4.379
tt3513500,Akiva Schaffer,420821,3.887
tt3513500,Akiva Schaffer,420821,3.887
tt1877830,Matt Reeves,414906,7.897
tt1877830,Matt Reeves,414906,7.897
tt18925334,Ti West,949423,4.836
tt4273800,Tobias Lindholm,541134,1.522
tt3704428,Baz Luhrmann,614934,5.492
tt3704428,Baz Luhrmann,614934,5.492
tt6443346,Jaume Collet-Serra,436270,3.778
tt6467266,Garth Jennings,438695,5.348
tt2953050,Jared Bush,568124,4.821
tt2953050,Byron Howard,568124,3.866
tt2953050,Jared Bush,568124,4.821
tt2953050,Byron Howard,568124,3.866
tt10341034,Yann Gozlan,663260,0.871
tt13024674,Matthias Schweighöfer,796499,11.731
tt9376612,Destin Daniel Cretton,566525,5.12
tt9376612,Destin Daniel Cretton,566525,5.12
tt9130508,Anthony Russo,544401,25.07
tt9130508,Joe Russo,544401,10.891
tt10366460,Sian Heder,776503,1.259
tt9032400,Chloé Zhao,524434,7.133
tt9784798,Shaka King,583406,1.434
tt9777666,Chris McKay,588228,3.182
tt9639470,Edgar Wright,576845,8.146
tt9620288,Reinaldo Marcus Green,614917,1.535
tt9620288,Reinaldo Marcus Green,614917,1.535
tt8847712,Wes Anderson,542178,18.701
tt8721424,Lin-Manuel Miranda,537116,14.779
tt8718158,Peter Hutchings,603661,1.229
tt10293406,Jane Campion,600583,5.639
tt9701942,Leigh Janiak,591275,1.274
tt9701940,Leigh Janiak,591274,1.274
tt9701940,Leigh Janiak,591274,1.274
tt10872600,Jon Watts,634649,9.323
tt4733624,Paul Weitz,607259,8.305
tt4733624,Paul Weitz,607259,8.305
tt4761112,Kevin Macdonald,644583,3.93
tt5034838,Adam Wingard,399566,7.378
tt5034838,Adam Wingard,399566,7.378
tt1160419,Denis Villeneuve,438631,20.488
tt5109280,Don Hall,527774,3.596
tt5109280,Carlos López Estrada,527774,1.17
tt3811906,James Wan,619778,11.143
tt3811906,James Wan,619778,11.143
tt3480822,Cate Shortland,497698,2.94
tt3420504,Miguel Sapochnik,522402,2.64
tt3420504,Miguel Sapochnik,522402,2.64
tt11832046,Cal Brunker,675445,4.709
tt4513678,Jason Reitman,425909,6.117
tt3228774,Craig Gillespie,337404,2.569
tt11847410,Megan Park,795514,12.622
tt4244994,Ridley Scott,617653,41.923
tt5562070,Chris Appelhans,550205,1.918
tt5562070,Chris Appelhans,550205,1.918
tt10016180,John Lee Hancock,602269,4.201
tt11233960,Nora Fingscheidt,645886,3.681
tt7504818,Sarah Smith,482321,4.837
tt7504818,Jean-Philippe Vine,482321,1.515
tt7504818,Sarah Smith,482321,4.837
tt7504818,Jean-Philippe Vine,482321,1.515
tt7069210,Michael Chaves,423108,3.809
tt12789558,Kenneth Branagh,777270,30.65
tt2382320,Cary Joji Fukunaga,370172,6.576
tt7144666,Scott Derrickson,756999,11.523
tt7144666,Scott Derrickson,756999,11.523
tt11271038,Paul Thomas Anderson,718032,6.822
tt11271038,Paul Thomas Anderson,718032,6.822
tt8368408,Navot Papushado,574060,1.031
tt11003218,Michael Sarnoski,635731,2.043
tt8385148,Patrick Hughes,522931,2.792
tt7888964,Ilya Naishuller,615457,5.21
tt7888964,Ilya Naishuller,615457,5.21
tt7740496,Guillermo del Toro,597208,18.001
tt7979580,Michael Rianda,501929,2.272
